strata,year,biomass,cv
CENTRAL GOA,1984,11336.2,0.42255393560501225
CENTRAL GOA,1987,53782,0.48123334381138394
CENTRAL GOA,1990,17341.8,0.4464782342005711
CENTRAL GOA,1993,36659.8,0.37057909801363614
CENTRAL GOA,1996,55254.3,0.5799600139857516
CENTRAL GOA,1999,42886,0.44318594135774514
CENTRAL GOA,2001,25651.5,0.34361329435753557
CENTRAL GOA,2003,53920.7,0.6158680254059664
CENTRAL GOA,2005,98312.3,0.42003445380915433
CENTRAL GOA,2007,58652.4,0.5832521991511217
CENTRAL GOA,2009,44911.1,0.35615314177819
CENTRAL GOA,2011,68062.5,0.5227429315201539
CENTRAL GOA,2013,55361.3,0.3094088194158739
CENTRAL GOA,2015,29187.3,0.26649837757799005
CENTRAL GOA,2017,34859.5,0.2736889737989578
CENTRAL GOA,2019,76161.1,0.24989521043973806
CENTRAL GOA,2021,103418.5,0.513199613936144
EASTERN GOA,1984,10672.3,0.29001972767370493
EASTERN GOA,1987,27677.1,0.46169270548199265
EASTERN GOA,1990,6699.3,0.5274824414452418
EASTERN GOA,1993,9107.7,0.40196782538744114
EASTERN GOA,1996,15673.1,0.4402110414475148
EASTERN GOA,1999,4204.5,0.57287570191927
EASTERN GOA,2003,12896.3,0.6614199152418097
EASTERN GOA,2005,2905.2,0.3410886942903634
EASTERN GOA,2007,9436.5,0.43378941780466396
EASTERN GOA,2009,25808,0.7283160926424497
EASTERN GOA,2011,4871,0.4441473643182324
EASTERN GOA,2013,40858.7,0.7673851413038149
EASTERN GOA,2015,2207.6,0.44730518117012064
EASTERN GOA,2017,1973.8,0.23488965495048336
EASTERN GOA,2019,9111.1,0.3561235646598282
EASTERN GOA,2021,1636.5,0.4668117509060563
WESTERN GOA,1984,3639.9,0.41590583214957233
WESTERN GOA,1987,12753.1,0.4343958417780887
WESTERN GOA,1990,2854,0.5102337239196301
WESTERN GOA,1993,11978.4,0.7717395683453477
WESTERN GOA,1996,3552.8,0.6112478505333443
WESTERN GOA,1999,2537.6,0.45925211908735597
WESTERN GOA,2001,5352.1,0.5417795201906823
WESTERN GOA,2003,4039.1,0.5263481912318505
WESTERN GOA,2005,69295.3,0.44766309351008005
WESTERN GOA,2007,4984.8,0.353123090087069
WESTERN GOA,2009,1403.7,0.40190837261701146
WESTERN GOA,2011,10473.4,0.8756664576492238
WESTERN GOA,2013,2949.8,0.561098251068425
WESTERN GOA,2015,1395.1,0.4881240308109169
WESTERN GOA,2017,14436.9,0.6086242215235856
WESTERN GOA,2019,3092.7,0.47483975382913896
WESTERN GOA,2021,2014.3,0.3210672956182351
