strata,year,biomass,cv
EASTERN GOA,1999,118.2,0.46605513949567995
WESTERN GOA,2009,44692.7,0.46463378409961875
CENTRAL GOA,1990,73835.9,0.5767046133365278
WESTERN GOA,2013,42935.9,0.6613363268713971
EASTERN GOA,1990,342.6,0.5994776426538737
CENTRAL GOA,2013,327442.6,0.6681407604667923
EASTERN GOA,2013,75.6,0.6182307283683421
EASTERN GOA,1996,191.9,0.3370594414135263
WESTERN GOA,1996,28114,0.4110547249739213
CENTRAL GOA,2011,126531.6,0.4749019154238977
WESTERN GOA,1990,32897.7,0.4858044129172111
EASTERN GOA,2009,70.2,0.5387066181284648
CENTRAL GOA,2009,45133,0.4449435457373426
WESTERN GOA,2005,231110.7,0.5155140057462431
CENTRAL GOA,1993,90443.7,0.39799483131063607
WESTERN GOA,1993,14507.7,0.5446100476655079
CENTRAL GOA,1999,196611.4,0.7412841390050346
WESTERN GOA,1999,45457.1,0.4397114424542131
CENTRAL GOA,2003,57159.1,0.5551149019753696
EASTERN GOA,2003,5.2,0.9979616203682593
WESTERN GOA,2003,9145.6,0.4144359719297736
EASTERN GOA,1993,40.7,0.5334381753044555
EASTERN GOA,2007,37.6,0.611515929155146
CENTRAL GOA,2007,106966.9,0.5897453506730294
EASTERN GOA,2019,0,NA
WESTERN GOA,2001,93291.2,0.5042532329057936
CENTRAL GOA,1996,70659.3,0.33900291984188097
WESTERN GOA,2017,38426.3,0.4496987722033235
EASTERN GOA,2005,160,0.592844312948504
CENTRAL GOA,2001,250322.3,0.7990383868671846
WESTERN GOA,2021,53383.7,0.3678391253941521
CENTRAL GOA,2005,127727.9,0.45271901788480323
EASTERN GOA,2021,0,NA
CENTRAL GOA,2017,111880.5,0.586823959371042
CENTRAL GOA,2015,43241.5,0.381311105601355
EASTERN GOA,2015,12.3,1.0020506825367903
WESTERN GOA,2019,37087.7,0.43040039550972453
EASTERN GOA,2011,28,0.7155722076808602
WESTERN GOA,2015,5679.6,0.45434550690509046
WESTERN GOA,2011,47082.2,0.6350232262486215
EASTERN GOA,2017,19.1,0.9997389667870081
CENTRAL GOA,2019,49637.3,0.5284435126880237
WESTERN GOA,2007,114221.9,0.4932464946153573
CENTRAL GOA,2021,37286.5,0.6670072866595401
