strata,year,biomass,cv
CENTRAL GOA,1990,0,NA
CENTRAL GOA,1996,55254.3,0.5799600139857506
CENTRAL GOA,1999,42886,0.44318594135774514
CENTRAL GOA,2001,25651.5,0.3436132943575355
CENTRAL GOA,2003,53920.7,0.615868025405965
CENTRAL GOA,2005,98312.3,0.420034453809154
CENTRAL GOA,2007,58652.4,0.5832521991511211
CENTRAL GOA,2009,44911.1,0.35615314177818963
CENTRAL GOA,2011,68062.5,0.5227429315201537
CENTRAL GOA,2013,55361.3,0.3094088194158736
CENTRAL GOA,2015,29187.3,0.26649837757799016
CENTRAL GOA,2017,34859.5,0.27368897379895774
CENTRAL GOA,2019,76161.1,0.24989521043973809
CENTRAL GOA,2021,103418.5,0.5131996139361439
EASTERN GOA,1990,68.1,0.5758747846293611
EASTERN GOA,1996,15673.1,0.4402110414475149
EASTERN GOA,1999,4204.5,0.5728757019192697
EASTERN GOA,2003,12896.3,0.6614199152418097
EASTERN GOA,2005,2905.2,0.3410886942903635
EASTERN GOA,2007,9436.5,0.43378941780466396
EASTERN GOA,2009,25808,0.7283160926424492
EASTERN GOA,2011,4871,0.44414736431823215
EASTERN GOA,2013,40858.7,0.7673851413038149
EASTERN GOA,2015,2207.6,0.4473051811701206
EASTERN GOA,2017,1973.8,0.2348896549504831
EASTERN GOA,2019,9111.1,0.35612356465982736
EASTERN GOA,2021,1636.5,0.46681175090605626
WESTERN GOA,1990,0,NA
WESTERN GOA,1996,3552.8,0.6112478505333445
WESTERN GOA,1999,2537.6,0.4592521190873555
WESTERN GOA,2001,5352.1,0.5417795201906824
WESTERN GOA,2003,4039.1,0.5263481912318503
WESTERN GOA,2005,69295.3,0.44766309351008
WESTERN GOA,2007,4984.8,0.3531230900870689
WESTERN GOA,2009,1403.7,0.4019083726170112
WESTERN GOA,2011,10473.4,0.8756664576492239
WESTERN GOA,2013,2949.8,0.5610982510684251
WESTERN GOA,2015,1395.1,0.48812403081091715
WESTERN GOA,2017,14436.9,0.6086242215235856
WESTERN GOA,2019,3092.7,0.4748397538291389
WESTERN GOA,2021,2014.3,0.32106729561823516
