strata,year,biomass,cv
CENTRAL GOA,1984,11612.5,0.31267022849178644
CENTRAL GOA,1987,90878.5,0.39251194663359873
CENTRAL GOA,1990,73835.9,0.5767046133365281
CENTRAL GOA,1993,90443.7,0.39799483131063557
CENTRAL GOA,1996,70659.3,0.3390029198418811
CENTRAL GOA,1999,196611.4,0.7412841390050354
CENTRAL GOA,2001,250322.3,0.7990383868671849
CENTRAL GOA,2003,57159.1,0.5551149019753711
CENTRAL GOA,2005,127727.9,0.45271901788480357
CENTRAL GOA,2007,106966.9,0.5897453506730297
CENTRAL GOA,2009,45133,0.4449435457373424
CENTRAL GOA,2011,126531.6,0.4749019154238975
CENTRAL GOA,2013,327442.6,0.6681407604667925
CENTRAL GOA,2015,43241.5,0.38131110560135534
CENTRAL GOA,2017,111880.5,0.586823959371042
CENTRAL GOA,2019,49637.3,0.5284435126880238
CENTRAL GOA,2021,37286.5,0.6670072866595405
EASTERN GOA,1984,5.1,1.004425172570648
EASTERN GOA,1987,500.4,0.9770534221749968
EASTERN GOA,1990,342.6,0.599477642653874
EASTERN GOA,1993,40.7,0.5334381753044556
EASTERN GOA,1996,191.9,0.33705944141352634
EASTERN GOA,1999,118.2,0.4660551394956799
EASTERN GOA,2003,5.2,0.9979616203682584
EASTERN GOA,2005,160,0.5928443129485038
EASTERN GOA,2007,37.6,0.6115159291551457
EASTERN GOA,2009,70.2,0.5387066181284638
EASTERN GOA,2011,28,0.7155722076808602
EASTERN GOA,2013,75.6,0.6182307283683419
EASTERN GOA,2015,12.3,1.0020506825367916
EASTERN GOA,2017,19.1,0.9997389667870079
EASTERN GOA,2019,0,NA
EASTERN GOA,2021,0,NA
WESTERN GOA,1984,27716.1,0.3863677480064727
WESTERN GOA,1987,45037.8,0.35797811207394314
WESTERN GOA,1990,32897.7,0.4858044129172115
WESTERN GOA,1993,14507.7,0.5446100476655078
WESTERN GOA,1996,28114,0.41105472497392187
WESTERN GOA,1999,45457.1,0.4397114424542133
WESTERN GOA,2001,93291.2,0.5042532329057937
WESTERN GOA,2003,9145.6,0.41443597192977377
WESTERN GOA,2005,231110.7,0.515514005746243
WESTERN GOA,2007,114221.9,0.4932464946153569
WESTERN GOA,2009,44692.7,0.4646337840996188
WESTERN GOA,2011,47082.2,0.6350232262486216
WESTERN GOA,2013,42935.9,0.661336326871397
WESTERN GOA,2015,5679.6,0.4543455069050904
WESTERN GOA,2017,38426.3,0.44969877220332316
WESTERN GOA,2019,37087.7,0.43040039550972475
WESTERN GOA,2021,53383.7,0.36783912539415187
